Timestamp,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
1741818507.712352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1741818507.728856,-13323.78546283072,-4105.09903491724,-16285.36925141445,-29829.207638407664,-21647.306877053605,-17861.72602912498,-34261.91619180634,-187500.02235174447
1741818508.2085671,-13447.480016646388,-4228.771236988454,-16406.314540662115,-29963.65338130634,-21763.580651710112,-17982.693670117103,-34388.53882414565,-187500.02235174447
1741818508.209344,-13795.384919093243,-4572.384604499889,-16750.486701784936,-30313.458182031893,-22110.636187867665,-18318.662741024822,-34737.002520203896,-187500.02235174447
1741818508.2093897,-13775.067183383368,-4548.445886188256,-16731.21949806446,-30283.350382250595,-22098.298024928336,-18302.122450127896,-34712.81793270325,-187500.02235174447
1741818508.2094316,-13415.22644939738,-4183.374843999725,-16367.847188454532,-29908.399869012817,-21739.418415953925,-17936.06793118333,-34341.9577887008,-187500.02235174447
1741818508.2094722,-13482.818124630228,-4245.512693585479,-16436.19882299886,-29981.110093725933,-21805.043137674707,-17989.645062642703,-34410.577644178586,-187500.02235174447
1741818508.209524,-13823.861041529304,-4587.941418640783,-16776.817056753287,-30335.47465032037,-22134.172574779102,-18332.6772847983,-34759.287209425835,-187500.02235174447
1741818508.2095692,-13854.706448877627,-4622.094884168492,-16805.42728965608,-30363.950772756434,-22161.173482081114,-18371.278747472614,-34792.65836389761,-187500.02235174447
1741818508.2096095,-13492.33996776819,-4265.964539762084,-16443.507843435746,-29990.855454308446,-21805.177248141437,-18020.08813859083,-34426.53678971968,-187500.02235174447
1741818508.2096505,-13448.530548635788,-4222.602155518789,-16395.13866843446,-29948.54360205455,-21761.233718542306,-17973.440047912605,-34379.79929206363,-187500.02235174447
1741818508.209691,-13813.288666401944,-4582.308779038046,-16759.829730967253,-30321.0577751467,-22122.23674323997,-18331.045607453063,-34747.84311626472,-187500.02235174447
1741818508.2097328,-13897.018301131524,-4664.831419567039,-16844.319325008313,-30401.63581390808,-22204.602921557776,-18412.83064041503,-34830.29870156034,-187500.02235174447
1741818508.2097733,-13534.294192110801,-4298.911011089207,-16479.60591073107,-30021.387937234398,-21838.61545784658,-18049.726551738568,-34459.036226157696,-187500.02235174447
1741818508.209813,-13398.663806755998,-4158.206779743049,-16338.09701658452,-29881.77894136655,-21702.806258536133,-17902.339148800274,-34317.28146282214,-187500.02235174447
1741818508.2098627,-13744.780569646427,-4498.713254775197,-16683.096192252182,-30235.718814816337,-22047.112530125683,-18237.28003946305,-34667.1309670366,-187500.02235174447
1741818508.2099025,-13917.85012696387,-4673.883876071439,-16855.696362936065,-30411.31411925723,-22215.555276340878,-18416.40691952788,-34844.04502440036,-187500.02235174447
1741818508.2099428,-13599.360120220199,-4357.114953650827,-16540.22384169386,-30084.576318809548,-21898.339319031158,-18106.63409312178,-34524.325671711646,-187500.02235174447
1741818508.209983,-13370.277091297758,-4120.521738591402,-16308.79387960361,-29849.27950492853,-21674.508950055715,-17869.77265712889,-34289.45354097528,-187500.02235174447
1741818508.2100232,-13660.715658750018,-4411.764968844052,-16595.7679266653,-30152.458566720317,-21958.554918593756,-18146.442549996682,-34581.47908228387,-187500.02235174447
1741818508.2100637,-13912.865687950336,-4663.155038732892,-16843.313496507824,-30404.899168598557,-22194.410526086158,-18396.02212858464,-34832.26565507241,-187500.02235174447
1741818508.2101076,-13706.80495581686,-4447.907739628285,-16630.167261382016,-30176.799616432145,-21984.080610761717,-18184.060535914963,-34612.61506231011,-187500.02235174447
1741818508.2101474,-13389.521943273778,-4133.016363741918,-16314.605333161991,-29864.2998772025,-21679.448685580337,-17867.29161349435,-34293.81213114406,-187500.02235174447
1741818508.2102025,-13626.271620544388,-4369.9672067126285,-16543.12956847305,-30106.68219407585,-21893.33252827317,-18085.24347367805,-34529.73479386983,-187500.02235174447
1741818508.2102807,-13940.045409207989,-4656.069535740559,-16844.699304664053,-30413.839866380677,-22199.841999988796,-18366.584881137,-34832.60093123924,-187500.02235174447
1741818508.210322,-13767.087610612823,-4502.580106565965,-16679.40815441706,-30240.055053240667,-22047.85013769271,-18216.26939967506,-34664.47110944642,-187500.02235174447
1741818508.2103624,-13402.374196335579,-4149.690765105577,-16299.294388210106,-29853.168708463756,-21669.05512440862,-17857.501549422926,-34281.47396820474,-187500.02235174447
